index,0,1,2
26457,0.03,0.17,0.8
26458,0.49,0.2,0.31
26459,0.05,0.06,0.89
26460,0.027857142857142855,0.065,0.9071428571428573
26461,0.06,0.2008333333333333,0.7391666666666667
26462,0.02,0.07,0.91
26463,0.37,0.56,0.07
26464,0.01,0.01,0.98
26465,0.09,0.12,0.79
26466,0.01,0.23,0.76
26467,0.0,0.08,0.92
26468,0.03,0.03,0.94
26469,0.79,0.055,0.155
26470,0.14,0.32,0.54
26471,0.01,0.02,0.97
26472,0.12,0.19,0.69
26473,0.01,0.01,0.98
26474,0.11833333333333332,0.8416666666666667,0.04
26475,0.5185,0.28,0.2015
26476,0.0,0.05166666666666666,0.9483333333333335
26477,0.13333333333333333,0.19,0.6766666666666665
26478,0.1,0.023333333333333334,0.8766666666666666
26479,0.04666666666666666,0.06,0.8933333333333333
26480,0.057999999999999996,0.1,0.8420000000000001
26481,0.0,0.67,0.33
26482,0.1,0.016666666666666666,0.8833333333333333
26483,0.01,0.12,0.87
26484,0.115,0.13,0.755
26485,0.003333333333333333,0.01,0.9866666666666667
26486,0.05,0.26,0.69
26487,0.06,0.04,0.9
26488,0.085,0.9,0.015
26489,0.0,0.28,0.72
26490,0.1,0.16333333333333333,0.7366666666666666
26491,0.02,0.01,0.97
26492,0.02,0.26,0.72
26493,0.85,0.15,0.0
26494,0.05,0.14,0.81
26495,0.01,0.04833333333333333,0.9416666666666668
26496,0.18,0.09,0.73
26497,0.03,0.92,0.05
26498,0.26,0.66,0.08
26499,0.01,0.04,0.95
26500,0.01,0.21,0.78
26501,0.09,0.28,0.63
26502,0.01,0.01,0.98
26503,0.15,0.53,0.32
26504,0.165,0.2785,0.5565
26505,0.05,0.1,0.85
26506,0.07,0.89,0.04
26507,0.09,0.87,0.04
26508,0.27,0.39666666666666667,0.33333333333333337
26509,0.04,0.045,0.915
26510,0.02,0.095,0.885
26511,0.03,0.0,0.97
26512,0.12,0.24,0.64
26513,0.01,0.03333333333333333,0.9566666666666667
26514,0.01,0.05,0.94
26515,0.1025,0.01,0.8875
26516,0.01,0.26,0.73
26517,0.267,0.703,0.03
26518,0.09,0.15,0.76
26519,0.74,0.06,0.2
26520,0.0,0.99,0.01
26521,0.03,0.06,0.91
26522,0.06,0.21,0.73
26523,0.08,0.23,0.69
26524,0.11,0.12333333333333332,0.7666666666666667
26525,0.2725,0.1075,0.62
26526,0.02,0.04666666666666666,0.9333333333333335
26527,0.09,0.77,0.14
26528,0.11,0.89,0.0
26529,0.54,0.048,0.41200000000000003
26530,0.12166666666666666,0.16166666666666668,0.7166666666666666
26531,0.004,0.021714285714285714,0.9742857142857143
26532,0.76,0.01,0.23
26533,0.08,0.06,0.86
26534,0.02,0.04,0.94
26535,0.03333333333333333,0.06,0.9066666666666666
26536,0.16,0.22,0.62
26537,0.06,0.04,0.9
26538,0.09,0.344,0.5660000000000001
26539,0.01,0.13033333333333333,0.8596666666666667
26540,0.2725,0.2025,0.525
26541,0.01,0.04,0.95
26542,0.06,0.115,0.825
26543,0.04,0.03,0.93
26544,0.1,0.1,0.8
26545,0.03,0.22,0.75
26546,0.04,0.065,0.895
26547,0.01,0.03,0.96
26548,0.045,0.005,0.95
26549,0.3308333333333333,0.6691666666666666,0.0
26550,0.01,0.40583333333333327,0.5841666666666667
26551,0.0,0.67,0.33
26552,0.0,0.13699999999999998,0.863
26553,0.02,0.04,0.94
26554,0.28,0.48200000000000004,0.23800000000000002
26555,0.05,0.03,0.92
26556,0.01,0.04,0.95
26557,0.085,0.02,0.895
26558,0.77,0.04,0.19
26559,0.23,0.03,0.74
26560,0.07,0.14,0.79
26561,0.026666666666666665,0.06,0.9133333333333334
26562,0.055,0.065,0.88
26563,0.0875,0.0925,0.82
26564,0.01,0.04,0.95
26565,0.04,0.7725,0.1875
26566,0.17,0.14,0.69
26567,0.03,0.0,0.97
26568,0.25,0.74,0.01
26569,0.02,0.2,0.78
26570,0.12,0.4066666666666666,0.4733333333333333
26571,0.05,0.03,0.92
26572,0.24,0.36,0.4
26573,0.062,0.158,0.78
26574,0.23,0.04,0.73
26575,0.08,0.13,0.79
26576,0.006666666666666666,0.02,0.9733333333333333
26577,0.1725,0.09,0.7375
26578,0.16,0.41,0.43
26579,0.26,0.71,0.03
26580,0.045,0.065,0.89
26581,0.131,0.1408333333333333,0.7281666666666666
26582,0.0,0.01,0.99
26583,0.05,0.11,0.84
26584,0.04,0.22,0.74
26585,0.01,0.92,0.07
26586,0.23,0.64,0.13
26587,0.146,0.48,0.374
26588,0.01,0.02,0.97
26589,0.042333333333333334,0.02,0.9376666666666665
26590,0.01,0.8131666666666668,0.17683333333333334
26591,0.22,0.73,0.05
26592,0.30333333333333334,0.04333333333333334,0.6533333333333333
26593,0.24,0.65,0.11
26594,0.01,0.09,0.9
26595,0.02,0.0,0.98
26596,0.05,0.08,0.87
26597,0.06,0.59,0.35
26598,0.02,0.06,0.92
26599,0.055999999999999994,0.02333333333333333,0.9206666666666666
26600,0.0,0.06,0.94
26601,0.01,0.28,0.71
26602,0.03,0.12,0.85
26603,0.0525,0.09,0.8575
26604,0.04,0.04,0.92
26605,0.0,0.08,0.92
26606,0.08,0.5106666666666666,0.4093333333333334
26607,0.08199999999999999,0.9079999999999999,0.01
