index,0,1,2
26457,0.02,0.22,0.76
26458,0.47,0.24,0.29
26459,0.04,0.07,0.89
26460,0.030428571428571426,0.06,0.9095714285714286
26461,0.035,0.2,0.765
26462,0.04,0.06,0.9
26463,0.01,0.01,0.98
26464,0.02,0.29,0.69
26465,0.0,0.071,0.929
26466,0.0,0.03,0.97
26467,0.84,0.05,0.11
26468,0.17,0.27,0.56
26469,0.02,0.075,0.905
26470,0.08,0.17,0.75
26471,0.0,0.02,0.98
26472,0.12833333333333333,0.8616666666666667,0.01
26473,0.47,0.29,0.24
26474,0.02,0.02,0.96
26475,0.10933333333333334,0.20033333333333336,0.6903333333333334
26476,0.11,0.07,0.82
26477,0.025,0.03,0.945
26478,0.04,0.085,0.875
26479,0.02,0.7175,0.2625
26480,0.14,0.03,0.83
26481,0.0,0.17,0.83
26482,0.18,0.17,0.65
26483,0.01,0.01,0.98
26484,0.03,0.265,0.705
26485,0.06,0.0925,0.8475
26486,0.17,0.8,0.03
26487,0.0,0.32,0.68
26488,0.09,0.29,0.62
26489,0.01,0.02,0.97
26490,0.02,0.26,0.72
26491,0.82,0.18,0.0
26492,0.12,0.115,0.765
26493,0.16333333333333336,0.08333333333333331,0.7533333333333333
26494,0.03,0.91,0.06
26495,0.34,0.54,0.12
26496,0.0,0.05,0.95
26497,0.0,0.3,0.7
26498,0.07,0.34,0.59
26499,0.02,0.0,0.98
26500,0.23,0.485,0.285
26501,0.18333333333333335,0.23666666666666664,0.58
26502,0.01,0.05,0.94
26503,0.09666666666666666,0.8833333333333333,0.02
26504,0.16,0.81,0.03
26505,0.25,0.34,0.41
26506,0.05,0.02,0.93
26507,0.02,0.06,0.92
26508,0.14,0.15,0.71
26509,0.04,0.06166666666666666,0.8983333333333333
26510,0.16,0.0,0.84
26511,0.01,0.39,0.6
26512,0.2833333333333333,0.7166666666666666,0.0
26513,0.08,0.14,0.78
26514,0.79,0.02,0.19
26515,0.0,0.95,0.05
26516,0.02,0.025,0.955
26517,0.09,0.19,0.72
26518,0.04,0.255,0.705
26519,0.095,0.21666666666666665,0.6883333333333332
26520,0.23999999999999996,0.08,0.68
26521,0.03,0.02,0.95
26522,0.12916666666666665,0.8708333333333335,0.0
26523,0.47,0.09,0.44
26524,0.01,0.023333333333333334,0.9666666666666667
26525,0.68,0.01,0.31
26526,0.05,0.12,0.83
26527,0.07,0.04,0.89
26528,0.0075,0.065,0.9275
26529,0.17,0.18,0.65
26530,0.04,0.07749999999999999,0.8825
26531,0.18,0.16,0.66
26532,0.01,0.02,0.97
26533,0.02,0.066,0.914
26534,0.04,0.05,0.91
26535,0.13,0.14,0.73
26536,0.0225,0.24,0.7375
26537,0.04,0.12,0.84
26538,0.03,0.026000000000000002,0.9440000000000001
26539,0.09,0.01,0.9
26540,0.33,0.67,0.0
26541,0.0,0.4549761904761905,0.5450238095238095
26542,0.0,0.615,0.385
26543,0.02333333333333333,0.1,0.8766666666666666
26544,0.02,0.03,0.95
26545,0.23,0.51,0.26
26546,0.1,0.01,0.89
26547,0.0,0.05,0.95
26548,0.04,0.03,0.93
26549,0.73,0.05,0.22
26550,0.15,0.055,0.795
26551,0.12,0.1,0.78
26552,0.01,0.09,0.9
26553,0.06333333333333332,0.05,0.8866666666666667
26554,0.06,0.13,0.81
26555,0.01,0.06,0.93
26556,0.04,0.85,0.11
26557,0.15,0.13,0.72
26558,0.02,0.03,0.95
26559,0.16,0.8,0.04
26560,0.0,0.2,0.8
26561,0.15,0.39,0.46
26562,0.05,0.03,0.92
26563,0.21,0.37,0.42
26564,0.12816666666666665,0.17183333333333334,0.7
26565,0.23,0.05,0.72
26566,0.06,0.1,0.84
26567,0.015,0.01,0.975
26568,0.13,0.42,0.45
26569,0.2575,0.7075,0.035
26570,0.125,0.2316666666666667,0.6433333333333333
26571,0.0,0.0,1.0
26572,0.03,0.10333333333333332,0.8666666666666666
26573,0.04,0.13,0.83
26574,0.04,0.85,0.11
26575,0.04,0.075,0.885
26576,0.02,0.02,0.96
26577,0.0,0.7621666666666665,0.2378333333333333
26578,0.2,0.77,0.03
26579,0.2525,0.04,0.7075
26580,0.34,0.49,0.17
26581,0.04,0.09,0.87
26582,0.01,0.0,0.99
26583,0.02,0.07,0.91
26584,0.05,0.74,0.21
26585,0.05,0.11,0.84
26586,0.04083333333333334,0.03,0.9291666666666666
26587,0.0,0.01,0.99
26588,0.04,0.21,0.75
26589,0.05,0.05,0.9
26590,0.12,0.07,0.81
26591,0.015,0.09,0.895
26592,0.02,0.08,0.9
26593,0.14,0.41,0.45
26594,0.1,0.8925,0.0075
26595,0.01,0.09,0.9
26596,0.06,0.0275,0.9125
26597,0.31,0.61,0.08
