LOCATION,SUBJECT,Value
AUS,MEN,81.2
AUS,TOT,83.2
AUS,WOMEN,85.3
AUT,MEN,78.9
AUT,TOT,81.3
AUT,WOMEN,83.6
BEL,MEN,78.6
BEL,TOT,80.8
BEL,WOMEN,83
CAN,MEN,79.5
CAN,TOT,81.7
CAN,WOMEN,84
CZE,MEN,75.3
CZE,TOT,78.3
CZE,WOMEN,81.3
DNK,MEN,79.7
DNK,TOT,81.6
DNK,WOMEN,83.6
FIN,MEN,79.2
FIN,TOT,82
FIN,WOMEN,84.8
FRA,MEN,79.2
FRA,TOT,82.3
FRA,WOMEN,85.3
DEU,MEN,78.7
DEU,TOT,81.1
DEU,WOMEN,83.5
GRC,MEN,78.8
GRC,TOT,81.4
GRC,WOMEN,83.9
HUN,MEN,72.3
HUN,TOT,75.7
HUN,WOMEN,79
ISL,MEN,81.6
ISL,TOT,83.1
ISL,WOMEN,84.6
IRL,MEN,80.8
IRL,TOT,82.6
IRL,WOMEN,84.4
ITA,MEN,80
ITA,TOT,82.3
ITA,WOMEN,84.5
JPN,MEN,81.6
JPN,TOT,84.7
JPN,WOMEN,87.7
KOR,MEN,80.5
KOR,TOT,83.5
KOR,WOMEN,86.5
LUX,MEN,79.9
LUX,TOT,82.2
LUX,WOMEN,84.5
MEX,MEN,72.4
MEX,TOT,75.2
MEX,WOMEN,78.1
NLD,MEN,79.7
NLD,TOT,81.4
NLD,WOMEN,83.1
NZL,MEN,80.5
NZL,TOT,82.3
NZL,WOMEN,84.1
NOR,MEN,81.6
NOR,TOT,83.3
NOR,WOMEN,84.9
POL,MEN,72.5
POL,TOT,76.5
POL,WOMEN,80.7
PRT,MEN,78
PRT,TOT,81.1
PRT,WOMEN,84.1
SVK,MEN,73.5
SVK,TOT,77
SVK,WOMEN,80.4
ESP,MEN,79.6
ESP,TOT,82.4
ESP,WOMEN,85.2
SWE,MEN,80.6
SWE,TOT,82.4
SWE,WOMEN,84.2
CHE,MEN,81
CHE,TOT,83.1
CHE,WOMEN,85.1
GBR,MEN,78.4
GBR,TOT,80.4
GBR,WOMEN,82.4
USA,MEN,74.2
USA,TOT,77
USA,WOMEN,79.9
BRA,MEN,72.5
BRA,TOT,76.1
BRA,WOMEN,79.7
CHL,MEN,78.1
CHL,TOT,80.8
CHL,WOMEN,83.6
CHN,MEN,75
CHN,TOT,77.1
CHN,WOMEN,79.4
EST,MEN,74.4
EST,TOT,78.9
EST,WOMEN,83
IND,MEN,68.7
IND,TOT,69.9
IND,WOMEN,71.2
IDN,MEN,69.8
IDN,TOT,71.9
IDN,WOMEN,74.2
ISR,MEN,80.7
ISR,TOT,82.8
ISR,WOMEN,84.8
SVN,MEN,77.8
SVN,TOT,80.6
SVN,WOMEN,83.4
ZAF,MEN,61
ZAF,TOT,64.4
ZAF,WOMEN,67.9
COL,MEN,73.6
COL,TOT,76.7
COL,WOMEN,80
LVA,MEN,70.6
LVA,TOT,75.5
LVA,WOMEN,80
LTU,MEN,70.1
LTU,TOT,75.1
LTU,WOMEN,80.1
CRI,MEN,78.1
CRI,TOT,80.6
CRI,WOMEN,83.2
ARG,MEN,73.4
ARG,TOT,76.8
ARG,WOMEN,80.1
BGR,MEN,70
BGR,TOT,73.6
BGR,WOMEN,77.5
HRV,MEN,74.7
HRV,TOT,77.8
HRV,WOMEN,80.9
PER,MEN,74.3
PER,TOT,77
PER,WOMEN,79.7
ROU,MEN,70.4
ROU,TOT,74.2
ROU,WOMEN,78.3
