LOCATION,SUBJECT,Value
AUS,MEN,20.3
AUS,WOMEN,23
AUT,MEN,17.9
AUT,WOMEN,21
BEL,MEN,17.6
BEL,WOMEN,20.8
CAN,MEN,19.4
CAN,WOMEN,22.1
CZE,MEN,15.2
CZE,WOMEN,19.1
DNK,MEN,18.4
DNK,WOMEN,21.2
FIN,MEN,18.8
FIN,WOMEN,22.2
FRA,MEN,19
FRA,WOMEN,23.1
DEU,MEN,18
DEU,WOMEN,21.2
GRC,MEN,18.5
GRC,WOMEN,21.4
HUN,MEN,14
HUN,WOMEN,17.9
ISL,MEN,20.3
ISL,WOMEN,22
IRL,MEN,19.4
IRL,WOMEN,21.9
ITA,MEN,18.3
ITA,WOMEN,21.7
JPN,MEN,20.1
JPN,WOMEN,24.9
KOR,MEN,19.2
KOR,WOMEN,23.6
LUX,MEN,18.5
LUX,WOMEN,21.8
MEX,MEN,16.7
MEX,WOMEN,18.7
NLD,MEN,18.2
NLD,WOMEN,20.7
NZL,MEN,19.8
NZL,WOMEN,22.1
NOR,MEN,19.8
NOR,WOMEN,22.1
POL,MEN,14.6
POL,WOMEN,19.2
PRT,MEN,17.8
PRT,WOMEN,21.6
SVK,MEN,14.8
SVK,WOMEN,18.9
ESP,MEN,18.4
ESP,WOMEN,22.4
SWE,MEN,18.9
SWE,WOMEN,21.4
CHE,MEN,19.3
CHE,WOMEN,22.2
GBR,MEN,18
GBR,WOMEN,20.6
USA,MEN,17
USA,WOMEN,19.8
BRA,MEN,17.3
BRA,WOMEN,20.6
CHL,MEN,18.6
CHL,WOMEN,22
EST,MEN,15.9
EST,WOMEN,21.1
ISR,MEN,19.3
ISR,WOMEN,22
SVN,MEN,16.9
SVN,WOMEN,20.6
LVA,MEN,14
LVA,WOMEN,19.1
LTU,MEN,13.6
LTU,WOMEN,19.1
CRI,MEN,18.8
CRI,WOMEN,21.4
COL,MEN,17.4
COL,WOMEN,20
BGR,MEN,12.9
BGR,WOMEN,17.1
HRV,MEN,15.1
HRV,WOMEN,18.8
ROU,MEN,13.4
ROU,WOMEN,17.7
