LOCATION,SUBJECT,Value
AUS,MIDDLE_AGED,93.11681986
AUS,OLD,93.1771636
AUT,MIDDLE_AGED,93.11426282
AUT,OLD,90.60411453
AUT,YOUNG,96.0767746
BEL,MIDDLE_AGED,91.62731171
BEL,OLD,90.15350342
BEL,YOUNG,94.15671825
CAN,MIDDLE_AGED,92.82612801
CAN,OLD,92.12200046
CAN,YOUNG,95.47765851
CZE,MIDDLE_AGED,89.73847032
CZE,OLD,87.36480474
CZE,YOUNG,93.85583401
DNK,MIDDLE_AGED,95.5688417
DNK,OLD,93.70322824
DNK,YOUNG,98.78947735
FIN,MIDDLE_AGED,96.04148865
FIN,OLD,91.17568731
FIN,YOUNG,98.99661541
FRA,MIDDLE_AGED,91.94489121
FRA,OLD,90.73348641
FRA,YOUNG,93.58754158
DEU,MIDDLE_AGED,92.28329659
DEU,OLD,89.23348784
DEU,YOUNG,95.58015466
GRC,MIDDLE_AGED,82.40080476
GRC,OLD,74.15414453
GRC,YOUNG,92.50244498
HUN,MIDDLE_AGED,87.80230284
HUN,OLD,87.18655705
HUN,YOUNG,93.50784421
ISL,MIDDLE_AGED,97.45615721
ISL,OLD,96.2354362
IRL,MIDDLE_AGED,95.26581168
IRL,OLD,95.36582828
IRL,YOUNG,96.87627554
ITA,MIDDLE_AGED,89.98954296
ITA,OLD,87.06150055
JPN,MIDDLE_AGED,89.63789344
JPN,OLD,87.976408
KOR,MIDDLE_AGED,81.83447719
KOR,OLD,63.08964491
KOR,YOUNG,93.20907593
MEX,MIDDLE_AGED,78.58390212
MEX,OLD,79.30749655
MEX,YOUNG,82.95889497
NLD,MIDDLE_AGED,94.96651888
NLD,OLD,89.12184238
NZL,MIDDLE_AGED,94.20241714
NZL,OLD,94.4896102
NZL,YOUNG,96.71828747
NOR,MIDDLE_AGED,95.43699622
NOR,OLD,91.64269567
NOR,YOUNG,98.25360179
POL,MIDDLE_AGED,88.3793354
POL,OLD,85.46459079
POL,YOUNG,93.72122884
PRT,MIDDLE_AGED,87.55159974
PRT,OLD,81.47808313
PRT,YOUNG,95.29291987
SVK,MIDDLE_AGED,90.47942758
SVK,OLD,88.26829791
SVK,YOUNG,94.08533573
ESP,MIDDLE_AGED,92.94508696
ESP,OLD,91.92364812
ESP,YOUNG,95.92982531
SWE,MIDDLE_AGED,92.72283912
SWE,OLD,89.72831964
SWE,YOUNG,97.77539968
CHE,MIDDLE_AGED,94.37115192
CHE,OLD,92.5235033
CHE,YOUNG,96.14127874
TUR,MIDDLE_AGED,79.54787612
TUR,OLD,76.3253212
TUR,YOUNG,85.8284831
GBR,MIDDLE_AGED,92.99908876
GBR,OLD,93.10531616
GBR,YOUNG,95.36903501
USA,MIDDLE_AGED,88.91037107
USA,OLD,91.19068384
USA,YOUNG,94.67872977
BRA,MIDDLE_AGED,87.71095872
BRA,OLD,86.02209091
BRA,YOUNG,93.13422441
CHL,MIDDLE_AGED,84.18146968
CHL,OLD,79.8189044
CHL,YOUNG,93.75550151
COL,MIDDLE_AGED,85.84671617
COL,OLD,85.24394631
COL,YOUNG,92.8586483
CRI,MIDDLE_AGED,87.30233908
CRI,OLD,84.66111422
CRI,YOUNG,93.58812571
EST,MIDDLE_AGED,90.56195021
EST,OLD,87.37771511
EST,YOUNG,96.68112993
ISR,MIDDLE_AGED,88.63672614
ISR,OLD,87.76643872
ISR,YOUNG,91.75890088
LVA,MIDDLE_AGED,86.20069027
LVA,OLD,81.50038123
LVA,YOUNG,93.35284829
LTU,MIDDLE_AGED,85.8962357
LTU,OLD,81.58147335
LTU,YOUNG,90.38960338
RUS,MIDDLE_AGED,87.37354279
RUS,OLD,85.61666012
RUS,YOUNG,92.56247878
SVN,MIDDLE_AGED,93.66673827
SVN,OLD,88.65116835
ZAF,MIDDLE_AGED,86.6604507
ZAF,YOUNG,89.44092989
