시점,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
　　　대한민국,79,84,90,103,106,108,128,145,174,216,253,290,324,407,563,618,834,"1,056","1,459","1,723","1,714","1,883","1,991","2,198","2,413","2,481","2,835","3,555","4,755","5,818","6,608","7,634","8,125","8,884","10,383","12,569","13,398","12,401","8,297","10,667","12,261","11,563","13,164","14,669","16,506","19,399","21,727","24,088","21,340","19,152","23,083","25,100","25,458","27,178","29,242","28,724","29,287","31,605","33,429","31,929","31,637"
　　　이스라엘,"1,229","1,436","1,095","1,258","1,376","1,429","1,514","1,468","1,648","1,852",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,167","19,401","19,701","19,462","19,163","21,101","20,354","18,480","19,034","19,934","20,586","21,855","24,939","29,600","27,720","30,694","33,611","32,510","36,316","37,738","35,814","37,283","40,475","41,705","43,589","43,611"
　　　일본,475,569,640,725,844,929,"1,069","1,239","1,451","1,685","2,056","2,272","2,967","3,975","4,354","4,674","5,198","6,335","8,821","9,104","9,463","10,360","9,576","10,421","10,979","11,577","17,113","20,749","25,059","24,823","25,371","28,915","31,415","35,682","39,200","43,429","38,437","35,022","31,903","36,027","38,532","33,846","32,289","34,808","37,689","37,218","35,434","35,275","39,339","40,855","44,508","48,168","48,603","40,454","38,109","34,524","38,762","38,387","39,159","40,113",-
　　　튀르키예,509,284,309,351,370,386,445,482,526,572,490,455,558,686,928,"1,136","1,276","1,427","1,550","2,079","1,564","1,579","1,402","1,310","1,247","1,368","1,511","1,706","1,745","2,022","2,794","2,736","2,842","3,180","2,270","2,898","3,054","3,144","4,500","4,116","4,337","3,143","3,688","4,760","6,102","7,456","8,102","9,792","10,941","9,103","10,743","11,421","11,796","12,615","12,158","11,006","10,895","10,590","9,453","9,127","8,538"
　　　캐나다,"2,259","2,240","2,269","2,374","2,555","2,770","3,047","3,217","3,463","3,764","4,122","4,520","5,090","5,839","7,033","7,511","8,809","8,919","9,124","10,044","11,171","12,337","12,482","13,425","13,878","14,115","14,461","16,309","18,937","20,716","21,448","21,768","20,880","20,121","19,935","20,614","21,227","21,902","21,025","22,315","24,271","23,822","24,255","28,300","32,144","36,383","40,504","44,660","46,711","40,876","47,562","52,224","52,669","52,635","50,956","43,596","42,316","45,129","46,455","46,327","43,242"
　　　멕시코,345,363,378,409,469,495,534,566,606,650,690,739,826,981,"1,242","1,476","1,454","1,301","1,589","2,035","3,027","3,803","2,598","2,148","2,478","2,569","1,734","1,863","2,248","2,688","3,112","3,662","4,171","5,650","5,854","3,928","4,412","5,289","5,481","6,157","7,158","7,545","7,593","7,075","7,484","8,278","9,068","9,643","10,017","8,003","9,271","10,203","10,242","10,725","10,929","9,617","8,745","9,288","9,687","9,946","8,347"
　　　미국,"3,007","3,067","3,244","3,375","3,574","3,828","4,146","4,336","4,696","5,032","5,234","5,609","6,094","6,726","7,226","7,801","8,592","9,453","10,565","11,674","12,575","13,976","14,434","15,544","17,121","18,237","19,071","20,039","21,417","22,857","23,889","24,342","25,419","26,387","27,695","28,691","29,968","31,459","32,854","34,514","36,335","37,133","38,023","39,496","41,713","44,115","46,299","47,976","48,383","47,100","48,467","49,883","51,603","53,107","55,050","56,863","58,021","60,110","63,064","65,280","63,544"
　　　칠레,505,555,639,655,678,670,773,753,757,870,933,"1,095","1,173","1,640","1,554",720,961,"1,278","1,442","1,937","2,543","2,980","2,157","1,709","1,625","1,444","1,518","1,760","2,027","2,289","2,495","2,804","3,350","3,535","4,024","5,107","5,350","5,745","5,447","4,958","5,075","4,575","4,446","4,773","6,195","7,599","9,465","10,502","10,751","10,209","12,808","14,637","15,352","15,843","14,671","13,574","13,754","14,999","15,888","14,742","13,232"
　　　콜롬비아,251,274,290,274,329,308,282,294,292,308,335,355,385,448,526,544,623,774,904,"1,062","1,242","1,323","1,387","1,349","1,304","1,165","1,143","1,166","1,232","1,218","1,445","1,457","1,697","1,894","2,285","2,540","2,621","2,827","2,566","2,210","2,520","2,440","2,397","2,281","2,783","3,414","3,741","4,714","5,473","5,193","6,337","7,335","8,050","8,218","8,114","6,176","5,871","6,377","6,730","6,425","5,333"
　　　코스타리카,381,355,334,344,352,372,393,412,443,475,533,568,637,767,816,936,"1,123","1,393","1,556","1,735","2,022","1,069","1,033","1,214","1,374","1,432","1,572","1,571","1,559","1,728","1,831","2,247","2,606","2,842","3,032","3,266","3,215","3,392","3,597","3,669","3,789","3,960","4,043","4,148","4,405","4,676","5,227","6,104","6,901","6,801","8,227","9,230","10,075","10,744","10,847","11,643","12,011","12,226","12,469","12,670","12,077"
